value,hour
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
21,0
21,1
22,2
22,3
23,4
23,5
21,6
22,6
22,7
22,8
23,9
23,10
24,11
22,12
23,13
24,14
25,15
24,16
27,17
28,18
24,19
24,20
24,21
25,22
24,23
